Symbol,Date,Price
AACB,22-Apr-26,10.37
AACBR,22-Apr-26,0.34
AACG,22-Apr-26,1.1301
AACI,22-Apr-26,9.9
AACIU,22-Apr-26,9.99
AACIW,22-Apr-26,0.24
AACO,22-Apr-26,9.84
AACPU,22-Apr-26,10.05
AADR,22-Apr-26,83.925
AAEQ,22-Apr-26,50.8197
AAL,22-Apr-26,11.5
AALG,22-Apr-26,8.85
AAME,22-Apr-26,2.5
AAOI,22-Apr-26,149.42
AAON,22-Apr-26,96.86
AAPB,22-Apr-26,31.08
AAPD,22-Apr-26,12.96
AAPG,22-Apr-26,25.13
AAPL,22-Apr-26,273.17
AAPU,22-Apr-26,32.21
AARD,22-Apr-26,5.53
AAUS,22-Apr-26,56.9575
AAVM,22-Apr-26,33.604
AAXJ,22-Apr-26,108.42
ABAT,22-Apr-26,3.59
ABCL,22-Apr-26,4.08
ABCS,22-Apr-26,31.8804
ABEO,22-Apr-26,5.63
ABI,22-Apr-26,24.865
ABIG,22-Apr-26,32.4733
ABLV,22-Apr-26,0.8
ABNB,22-Apr-26,144.18
ABNG,22-Apr-26,18.9428
ABOS,22-Apr-26,2.81
ABSI,22-Apr-26,3.68
ABTC,22-Apr-26,1.34
ABTS,22-Apr-26,1.28
ABUS,22-Apr-26,4.43
ABVC,22-Apr-26,1.18
ABVE,22-Apr-26,0.594
ABVEW,22-Apr-26,0.18
ABVX,22-Apr-26,115.99
ACAA,22-Apr-26,9.93
ACAAU,22-Apr-26,10.0398
ACAAW,22-Apr-26,0.44
ACAD,22-Apr-26,22.24
ACB,22-Apr-26,3.8
ACCL,22-Apr-26,1.45
ACDC,22-Apr-26,7.11
ACEP,22-Apr-26,18.8028
ACET,22-Apr-26,8.31
ACFN,22-Apr-26,18.66
ACGCU,22-Apr-26,10.01
ACGL,22-Apr-26,96.77
ACGLN,22-Apr-26,17.24
ACGLO,22-Apr-26,20.45
ACHC,22-Apr-26,28.01
ACHV,22-Apr-26,4.23
ACIC,22-Apr-26,11.68
ACIU,22-Apr-26,3.06
ACIW,22-Apr-26,44.25
ACLS,22-Apr-26,139.93
ACLX,22-Apr-26,115
ACMR,22-Apr-26,54.53
ACNB,22-Apr-26,49.74
ACNT,22-Apr-26,14.08
ACOG,22-Apr-26,6.99
ACON,22-Apr-26,3.73
ACONW,22-Apr-26,0.04
ACRS,22-Apr-26,4.39
ACRV,22-Apr-26,1.97
ACT,22-Apr-26,43.35
ACTG,22-Apr-26,4.97
ACTU,22-Apr-26,2.78
ACWI,22-Apr-26,150.17
ACWX,22-Apr-26,73.36
ACXP,22-Apr-26,2.22
ADACW,22-Apr-26,0.4699
ADAG,22-Apr-26,3.78
ADAM,22-Apr-26,7.92
ADAMG,22-Apr-26,25.18
ADAMH,22-Apr-26,25.51
ADAMI,22-Apr-26,25.32
ADAML,22-Apr-26,24
ADAMM,22-Apr-26,25.35
ADAMN,22-Apr-26,23.1
ADAMO,22-Apr-26,24.69
ADAMZ,22-Apr-26,18.79
ADBE,22-Apr-26,255.94
ADBG,22-Apr-26,5
ADEA,22-Apr-26,30.49
ADGM,22-Apr-26,1.52
ADI,22-Apr-26,381.42
ADIL,22-Apr-26,1.57
ADMA,22-Apr-26,10.95
ADP,22-Apr-26,201.69
ADPT,22-Apr-26,14.2
ADSE,22-Apr-26,11.99
ADSK,22-Apr-26,247.57
ADTN,22-Apr-26,16.95
ADTX,22-Apr-26,0.3099
ADUR,22-Apr-26,11.97
ADUS,22-Apr-26,94.77
ADV,22-Apr-26,32.43
ADVB,22-Apr-26,5.34
ADXN,22-Apr-26,6.6
AEAQ,22-Apr-26,9.96
AEAQU,22-Apr-26,10.08
AEAQW,22-Apr-26,0.34
AEBI,22-Apr-26,12.14
AEC,22-Apr-26,5.76
AEHL,22-Apr-26,0.69
AEHR,22-Apr-26,97.36
AEI,22-Apr-26,1.68
AEIS,22-Apr-26,377.19
AEMD,22-Apr-26,2.29
AENT,22-Apr-26,7.18
AENTW,22-Apr-26,0.575
AEP,22-Apr-26,131.62
AERT,22-Apr-26,0.6251
AERTW,22-Apr-26,0.0213
AEVA,22-Apr-26,16.32
AEYE,22-Apr-26,7.13
AFBI,22-Apr-26,22.4
AFCG,22-Apr-26,2.93
AFJK,22-Apr-26,46.01
AFJKR,22-Apr-26,0.28
AFOS,22-Apr-26,41.0086
AFRI,22-Apr-26,9.67
AFRIW,22-Apr-26,0.6475
AFRM,22-Apr-26,66.58
AFSC,22-Apr-26,33.6273
AFYA,22-Apr-26,15.65
AGAE,22-Apr-26,0.5642
AGCC,22-Apr-26,23.96
AGEM,22-Apr-26,45.379
AGEN,22-Apr-26,3.94
AGGA,22-Apr-26,25.215
AGH,22-Apr-26,3.64
AGIO,22-Apr-26,26.72
AGIX,22-Apr-26,39.58
AGMB,22-Apr-26,10.55
AGMH,22-Apr-26,0.9205
AGMI,22-Apr-26,73.6661
AGNC,22-Apr-26,10.91
AGNCL,22-Apr-26,24.84
AGNCM,22-Apr-26,24.77
AGNCN,22-Apr-26,25.69
AGNCO,22-Apr-26,25.43
AGNCP,22-Apr-26,24.67
AGNCZ,22-Apr-26,25.35
AGNG,22-Apr-26,35.5581
AGPU,22-Apr-26,8.75
AGRZ,22-Apr-26,0.4094
AGYS,22-Apr-26,68.49
AGZD,22-Apr-26,22.655
AHCO,22-Apr-26,12.71
AHG,22-Apr-26,1.98
AHMA,22-Apr-26,1.21
AIA,22-Apr-26,122.02
AIDX,22-Apr-26,1.79
AIFD,22-Apr-26,46.6655
AIFF,22-Apr-26,2.23
AIFU,22-Apr-26,1.4
AIHS,22-Apr-26,1.2201
AIIO,22-Apr-26,0.72
AIIOW,22-Apr-26,0.018
AIMD,22-Apr-26,1.85
AIMDW,22-Apr-26,0.085
AIMS,22-Apr-26,26.3627
AIOS,22-Apr-26,0.4535
AIOT,22-Apr-26,3.47
AIP,22-Apr-26,24.27
AIPI,22-Apr-26,35.64
AIPO,22-Apr-26,30.15
AIQ,22-Apr-26,54.97
AIRE,22-Apr-26,0.2792
AIRG,22-Apr-26,6.39
AIRJ,22-Apr-26,3.21
AIRJW,22-Apr-26,0.665
AIRO,22-Apr-26,8.7
AIRR,22-Apr-26,123.95
AIRS,22-Apr-26,2.68
AIRT,22-Apr-26,22.1
AIRTP,22-Apr-26,19.18
AISP,22-Apr-26,2.66
AISPW,22-Apr-26,0.77
AIXC,22-Apr-26,1.55
AIXI,22-Apr-26,0.8948
AKAM,22-Apr-26,97.11
AKAN,22-Apr-26,10.21
AKBA,22-Apr-26,1.42
AKTS,22-Apr-26,22
AKTX,22-Apr-26,5.79
ALAB,22-Apr-26,194.06
ALAR,22-Apr-26,7.19
ALBG,22-Apr-26,16.8871
ALBT,22-Apr-26,0.417
ALCO,22-Apr-26,42.07
ALCY,22-Apr-26,11.99
ALCYW,22-Apr-26,0.131
ALDX,22-Apr-26,1.7
ALEC,22-Apr-26,2.45
ALFUW,22-Apr-26,0.1276
ALGM,22-Apr-26,42.27
ALGN,22-Apr-26,196.05
ALGS,22-Apr-26,6.51
ALGT,22-Apr-26,80.65
ALHC,22-Apr-26,21.01
ALIL,22-Apr-26,30.4723
ALIS,22-Apr-26,10.05
ALKS,22-Apr-26,33.74
ALKT,22-Apr-26,17.5
ALLO,22-Apr-26,2.39
ALLR,22-Apr-26,1.4
ALLT,22-Apr-26,7.37
ALLW,22-Apr-26,29.84
ALM,22-Apr-26,23.33
ALMR,22-Apr-26,24.27
ALMS,22-Apr-26,25.89
ALMU,22-Apr-26,21.19
ALNT,22-Apr-26,71.81
ALNY,22-Apr-26,310.58
ALOT,22-Apr-26,14.01
ALOV,22-Apr-26,9.88
ALOVW,22-Apr-26,0.4
ALOY,22-Apr-26,9.39
ALP,22-Apr-26,0.23
ALPS,22-Apr-26,0.94
ALRM,22-Apr-26,46.27
ALRS,22-Apr-26,25.51
ALT,22-Apr-26,3.47
ALTI,22-Apr-26,3.79
ALTO,22-Apr-26,5.17
ALTS,22-Apr-26,0.926
ALTY,22-Apr-26,12.33
ALVO,22-Apr-26,3.5
ALVOW,22-Apr-26,0.25
